row_id,timestamp,alarm_id,confidence,classification,is_anomaly,model_type,processing_time,enrichment_data,taa_decision,alert_severity,source_ip,destination_ip,protocol,attack_category,enhanced_classification,enhanced_confidence,threat_score,enhanced_is_anomaly,classification_reasoning,enhanced_processing_time
0,"2025-07-23 10:54:28,877",ffff42ac-9696-4add-8d6b-18dabe4f13cd,0.2,benign,False,supervised_v1,0.003954,present,alert_received,,149.171.126.7,149.171.126.9,tcp,,suspicious,0.7,4.0,True,Low confidence score 0.2 indicates potential evasion; Source IP 149.171.126.7 reputation: unknown,0.007126569747924805
1,"2025-07-23 10:54:29,689",ffff907d-679a-4ff0-84c4-93342727b2a2,0.2,benign,False,supervised_v1,0.004072,present,alert_received,high,,,tcp,Exploits,critical,0.95,13.5,True,Attack category 'Exploits' (score: 5.0); Severity level 'high' (score: 3.0); Low confidence score 0.2 indicates potential evasion; Source IP nan reputation: unknown; Contextual threats detected (score: 1.5),0.00040221214294433594
2,"2025-07-23 10:54:29,766",ffff3d7a-eb50-43c0-9658-4ebd93d404cd,0.2,benign,False,supervised_v1,0.004229,present,alert_received,,149.171.126.7,175.45.176.0,tcp,,suspicious,0.7,4.0,True,Low confidence score 0.2 indicates potential evasion; Source IP 149.171.126.7 reputation: unknown,0.00021195411682128906
3,"2025-07-23 10:54:29,823",fffee702-8fca-467c-b951-eb5481629f0f,0.2,benign,False,supervised_v1,0.004645,present,alert_received,,149.171.126.7,175.45.176.1,tcp,,suspicious,0.7,4.0,True,Low confidence score 0.2 indicates potential evasion; Source IP 149.171.126.7 reputation: unknown,0.0001690387725830078
4,"2025-07-23 10:54:29,823",fffec939-e76f-489c-89fc-ca440f4e4065,0.2,benign,False,supervised_v1,0.004154,present,alert_received,,149.171.126.7,175.45.176.1,tcp,,suspicious,0.7,4.0,True,Low confidence score 0.2 indicates potential evasion; Source IP 149.171.126.7 reputation: unknown,0.0001659393310546875
5,"2025-07-23 10:54:29,823",fffdbb36-a8fa-4b6d-b13f-310ab40ae70f,0.2,benign,False,supervised_v1,0.004493,present,alert_received,low,,,tcp,Normal,suspicious,0.8500000000000001,5.0,True,Severity level 'low' (score: 1.0); Low confidence score 0.2 indicates potential evasion; Source IP nan reputation: unknown,0.00023221969604492188
6,"2025-07-23 10:54:29,823",ffff42ac-9696-4add-8d6b-18dabe4f13cd,0.2,benign,False,supervised_v1,0.004765,present,alert_received,,149.171.126.7,149.171.126.9,tcp,,suspicious,0.7,4.0,True,Low confidence score 0.2 indicates potential evasion; Source IP 149.171.126.7 reputation: unknown,0.00022983551025390625
7,"2025-07-23 10:54:29,823",fffee702-8fca-467c-b951-eb5481629f0f,0.2,benign,False,supervised_v1,0.003303,present,alert_received,,149.171.126.7,175.45.176.1,tcp,,suspicious,0.7,4.0,True,Low confidence score 0.2 indicates potential evasion; Source IP 149.171.126.7 reputation: unknown,0.00018215179443359375
8,"2025-07-23 10:54:29,823",fffe6903-7ba6-4d6c-99d9-2748065d359c,0.2,benign,False,supervised_v1,0.004368,present,alert_received,,149.171.126.7,149.171.126.10,tcp,,suspicious,0.7,4.0,True,Low confidence score 0.2 indicates potential evasion; Source IP 149.171.126.7 reputation: unknown,0.0001659393310546875
9,"2025-07-23 10:54:29,824",fffe4c18-aa5d-49c4-b20b-0ec5c1a2eab4,0.2,benign,False,supervised_v1,0.004745,present,alert_received,,149.171.126.7,149.171.126.6,tcp,,suspicious,0.7,4.0,True,Low confidence score 0.2 indicates potential evasion; Source IP 149.171.126.7 reputation: unknown,0.00015687942504882812
10,"2025-07-23 10:55:00,614",ffff42ac-9696-4add-8d6b-18dabe4f13cd,0.2,benign,False,supervised_v1,0.003954,present,unknown,,149.171.126.7,149.171.126.9,tcp,,suspicious,0.7,4.0,True,Low confidence score 0.2 indicates potential evasion; Source IP 149.171.126.7 reputation: unknown,0.00015282630920410156
11,"2025-07-23 10:55:00,614",fffdd837-cb97-4d2c-98d7-30ec18af5342,0.2,benign,False,supervised_v1,0.004063,present,alert_received,,149.171.126.7,149.171.126.7,tcp,,suspicious,0.7,4.0,True,Low confidence score 0.2 indicates potential evasion; Source IP 149.171.126.7 reputation: unknown,0.0001621246337890625
12,"2025-07-23 10:55:01,042",ffff907d-679a-4ff0-84c4-93342727b2a2,0.2,benign,False,supervised_v1,0.004072,present,unknown,high,10.45.254.19,10.45.254.19,tcp,Exploits,critical,0.95,10.0,True,Attack category 'Exploits' (score: 5.0); Severity level 'high' (score: 3.0); Low confidence score 0.2 indicates potential evasion,0.00015401840209960938
