row_id,timestamp,alarm_id,confidence,classification,is_anomaly,model_type,processing_time,enrichment_data,taa_decision,alert_severity,source_ip,destination_ip,protocol,attack_category
0,"2025-07-23 10:54:28,877",ffff42ac-9696-4add-8d6b-18dabe4f13cd,0.2,benign,False,supervised_v1,0.003954,present,alert_received,,149.171.126.7,149.171.126.9,tcp,
1,"2025-07-23 10:54:29,689",ffff907d-679a-4ff0-84c4-93342727b2a2,0.2,benign,False,supervised_v1,0.004072,present,alert_received,high,,,tcp,Exploits
2,"2025-07-23 10:54:29,766",ffff3d7a-eb50-43c0-9658-4ebd93d404cd,0.2,benign,False,supervised_v1,0.004229,present,alert_received,,149.171.126.7,175.45.176.0,tcp,
3,"2025-07-23 10:54:29,823",fffee702-8fca-467c-b951-eb5481629f0f,0.2,benign,False,supervised_v1,0.004645,present,alert_received,,149.171.126.7,175.45.176.1,tcp,
4,"2025-07-23 10:54:29,823",fffec939-e76f-489c-89fc-ca440f4e4065,0.2,benign,False,supervised_v1,0.004154,present,alert_received,,149.171.126.7,175.45.176.1,tcp,
5,"2025-07-23 10:54:29,823",fffdbb36-a8fa-4b6d-b13f-310ab40ae70f,0.2,benign,False,supervised_v1,0.004493,present,alert_received,low,,,tcp,Normal
6,"2025-07-23 10:54:29,823",ffff42ac-9696-4add-8d6b-18dabe4f13cd,0.2,benign,False,supervised_v1,0.004765,present,alert_received,,149.171.126.7,149.171.126.9,tcp,
7,"2025-07-23 10:54:29,823",fffee702-8fca-467c-b951-eb5481629f0f,0.2,benign,False,supervised_v1,0.003303,present,alert_received,,149.171.126.7,175.45.176.1,tcp,
8,"2025-07-23 10:54:29,823",fffe6903-7ba6-4d6c-99d9-2748065d359c,0.2,benign,False,supervised_v1,0.004368,present,alert_received,,149.171.126.7,149.171.126.10,tcp,
9,"2025-07-23 10:54:29,824",fffe4c18-aa5d-49c4-b20b-0ec5c1a2eab4,0.2,benign,False,supervised_v1,0.004745,present,alert_received,,149.171.126.7,149.171.126.6,tcp,
10,"2025-07-23 10:55:00,614",ffff42ac-9696-4add-8d6b-18dabe4f13cd,0.2,benign,False,supervised_v1,0.003954,present,unknown,,149.171.126.7,149.171.126.9,tcp,
11,"2025-07-23 10:55:00,614",fffdd837-cb97-4d2c-98d7-30ec18af5342,0.2,benign,False,supervised_v1,0.004063,present,alert_received,,149.171.126.7,149.171.126.7,tcp,
12,"2025-07-23 10:55:01,042",ffff907d-679a-4ff0-84c4-93342727b2a2,0.2,benign,False,supervised_v1,0.004072,present,unknown,high,10.45.254.19,10.45.254.19,tcp,Exploits
13,"2025-07-23 10:55:01,042",fffdbb36-a8fa-4b6d-b13f-310ab40ae70f,0.2,benign,False,supervised_v1,0.004201,present,alert_received,low,,,tcp,Normal
14,"2025-07-23 10:55:01,095",ffff3d7a-eb50-43c0-9658-4ebd93d404cd,0.2,benign,False,supervised_v1,0.004229,present,unknown,,149.171.126.7,175.45.176.0,tcp,
15,"2025-07-23 10:55:01,096",ffff73fb-bbd6-4259-806a-eaf64deb471e,0.2,benign,False,supervised_v1,0.005538,present,alert_received,,149.171.126.7,175.45.176.0,tcp,
16,"2025-07-23 10:55:01,307",fffe4c18-aa5d-49c4-b20b-0ec5c1a2eab4,0.2,benign,False,supervised_v1,0.004745,present,unknown,,149.171.126.7,149.171.126.6,tcp,
17,"2025-07-23 10:55:01,307",ffff0689-6a03-4847-9fbc-8ff4f79f19df,0.2,benign,False,supervised_v1,0.003636,present,alert_received,,149.171.126.7,149.171.126.3,tcp,
18,"2025-07-23 10:55:01,316",fffdbb36-a8fa-4b6d-b13f-310ab40ae70f,0.2,benign,False,supervised_v1,0.004493,present,unknown,low,10.45.254.19,10.45.254.19,tcp,Normal
19,"2025-07-23 10:55:01,316",fffe5e88-2eb2-496d-b8c1-5b6384c671fc,0.2,benign,False,supervised_v1,0.004375,present,alert_received,,149.171.126.7,149.171.126.3,tcp,
20,"2025-07-23 10:55:01,335",fffee702-8fca-467c-b951-eb5481629f0f,0.2,benign,False,supervised_v1,0.003303,present,unknown,,149.171.126.7,175.45.176.1,tcp,
21,"2025-07-23 10:55:01,335",fffdd837-cb97-4d2c-98d7-30ec18af5342,0.2,benign,False,supervised_v1,0.004322,present,alert_received,,149.171.126.7,149.171.126.7,tcp,
22,"2025-07-23 10:55:01,338",ffff42ac-9696-4add-8d6b-18dabe4f13cd,0.2,benign,False,supervised_v1,0.004765,present,unknown,,149.171.126.7,149.171.126.9,tcp,
23,"2025-07-23 10:55:01,339",fffee702-8fca-467c-b951-eb5481629f0f,0.2,benign,False,supervised_v1,0.005129,present,alert_received,,149.171.126.7,175.45.176.1,tcp,
24,"2025-07-23 10:55:01,377",fffee702-8fca-467c-b951-eb5481629f0f,0.2,benign,False,supervised_v1,0.004645,present,unknown,,149.171.126.7,175.45.176.1,tcp,
25,"2025-07-23 10:55:01,377",ffff0689-6a03-4847-9fbc-8ff4f79f19df,0.2,benign,False,supervised_v1,0.00397,present,alert_received,,149.171.126.7,149.171.126.3,tcp,
26,"2025-07-23 10:55:01,387",fffe6903-7ba6-4d6c-99d9-2748065d359c,0.2,benign,False,supervised_v1,0.004368,present,unknown,,149.171.126.7,149.171.126.10,tcp,
27,"2025-07-23 10:55:01,387",fffe5e88-2eb2-496d-b8c1-5b6384c671fc,0.2,benign,False,supervised_v1,0.004921,present,alert_received,,149.171.126.7,149.171.126.3,tcp,
28,"2025-07-23 10:55:01,399",fffec939-e76f-489c-89fc-ca440f4e4065,0.2,benign,False,supervised_v1,0.004154,present,unknown,,149.171.126.7,175.45.176.1,tcp,
29,"2025-07-23 10:55:01,399",fffdd748-ce59-470b-8a26-51c5c6fafedb,0.2,benign,False,supervised_v1,0.004601,present,alert_received,,149.171.126.7,149.171.126.7,tcp,
30,"2025-07-23 10:55:31,896",fffdd837-cb97-4d2c-98d7-30ec18af5342,0.2,benign,False,supervised_v1,0.004063,present,unknown,,149.171.126.7,149.171.126.7,tcp,
31,"2025-07-23 10:55:31,896",fffe0cd3-a9b9-4647-88d2-4d7fce9de35e,0.2,benign,False,supervised_v1,0.003853,present,alert_received,,149.171.126.7,149.171.126.9,tcp,
32,"2025-07-23 10:55:32,338",fffdbb36-a8fa-4b6d-b13f-310ab40ae70f,0.2,benign,False,supervised_v1,0.004201,present,unknown,low,10.45.254.19,10.45.254.19,tcp,Normal
33,"2025-07-23 10:55:32,338",fffdbb36-a8fa-4b6d-b13f-310ab40ae70f,0.2,benign,False,supervised_v1,0.00399,present,alert_received,low,,,tcp,Normal
34,"2025-07-23 10:55:32,376",ffff73fb-bbd6-4259-806a-eaf64deb471e,0.2,benign,False,supervised_v1,0.005538,present,unknown,,149.171.126.7,175.45.176.0,tcp,
35,"2025-07-23 10:55:32,376",ffff907d-679a-4ff0-84c4-93342727b2a2,0.2,benign,False,supervised_v1,0.003897,present,alert_received,high,,,tcp,Exploits
36,"2025-07-23 10:55:32,691",ffff0689-6a03-4847-9fbc-8ff4f79f19df,0.2,benign,False,supervised_v1,0.003636,present,unknown,,149.171.126.7,149.171.126.3,tcp,
37,"2025-07-23 10:55:32,691",fffedf8b-0c5a-456b-a4df-0d9d63dc9b6e,0.2,benign,False,supervised_v1,0.003909,present,alert_received,low,,,udp,Normal
38,"2025-07-23 10:55:32,698",fffe5e88-2eb2-496d-b8c1-5b6384c671fc,0.2,benign,False,supervised_v1,0.004375,present,unknown,,149.171.126.7,149.171.126.3,tcp,
39,"2025-07-23 10:55:32,698",fffe2be9-9dee-4f85-b5ad-5a5a1137d8ee,0.2,benign,False,supervised_v1,0.003914,present,alert_received,,149.171.126.7,175.45.176.1,tcp,
40,"2025-07-23 10:55:32,838",fffdd837-cb97-4d2c-98d7-30ec18af5342,0.2,benign,False,supervised_v1,0.004322,present,unknown,,149.171.126.7,149.171.126.7,tcp,
41,"2025-07-23 10:55:32,838",fffdd837-cb97-4d2c-98d7-30ec18af5342,0.2,benign,False,supervised_v1,0.004158,present,alert_received,,149.171.126.7,149.171.126.7,tcp,
